Name,Full Address,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Latitude,Longitude
Loughrea,"Clonfert House, Bride Street, Galway",https://maps.app.goo.gl/rT8Tp8E8TVE7HSe7A,https://maps.app.goo.gl/QTMVKeHKKAimebiq7,https://maps.app.goo.gl/8gRo269xigdN8pHU8,https://maps.app.goo.gl/Bh7LfueotTyBm7Ko7,https://maps.app.goo.gl/XL8LAHnTdsoCCypd8,https://maps.app.goo.gl/ddfuWuQ3PbWvXnsPA,https://maps.app.goo.gl/A5ZQiADbaTwDPCBa9,53.274001,-9.0512662
Carlow Talbot Hotel,"Carlow Talbot Hotel, Graigue, Carlow",https://maps.app.goo.gl/1NJ5YSNxupSZhSmL8,https://maps.app.goo.gl/PKpfgeN2L6XCjL2s9,https://maps.app.goo.gl/zkbf1wpdX23hbMRQ8,https://maps.app.goo.gl/RjkuNqxZ89wBETYW9,https://maps.app.goo.gl/VgKB5YCfDWwHGusd7,https://maps.app.goo.gl/LHPM3UCgcfD8c3c38,https://maps.app.goo.gl/QBFJRppy1mzG1dtC7,52.8463241,-6.9435902
Portlaoise - Maldron Hotel,"Maldron Hotel Portaoise, Abbeyleix Road, Laois",https://maps.app.goo.gl/bTKmKN4v2qb5G5gS7,https://maps.app.goo.gl/kYPBspQeb4j6ZkiN8,https://maps.app.goo.gl/fStwLo449nn3hamcA,https://maps.app.goo.gl/ki5x44fJLMkqCQwP6,https://maps.app.goo.gl/v8uCVEAJuHFkRiPp8,https://maps.app.goo.gl/1CZW2gA4FLHj3PyM7,https://maps.app.goo.gl/sKRctgzYzaEFzK5fA,53.0141323,-7.2998132
Galway - Clybaun Hotel,"The Clybaun Hotel, Clybaun Road, Galway",https://maps.app.goo.gl/KmjAuWH1yx5zE2n67,https://maps.app.goo.gl/w4pb8ynwqKAHiXxW7,https://maps.app.goo.gl/wtJnG9wkZg33CVLn8,https://maps.app.goo.gl/dw11bY4qazJL7hNc6,https://maps.app.goo.gl/MZHfPyd7RbVsGNFr8,https://maps.app.goo.gl/Si86vBEzCQjF9jpR9,https://maps.app.goo.gl/92ZvQtsGt9e3MENM9,53.2694358,-9.1083135
Galway (Carnmore),"Carnmore Commercial Centre, Carnmore, Galway",https://maps.app.goo.gl/AmexEofopV4h4rdu6,https://maps.app.goo.gl/AwdwLa3FifS2UCP89,https://maps.app.goo.gl/fhEsBRwuxJxM3U4s5,https://maps.app.goo.gl/iAQd5W9aZiVNb1Vx9,https://maps.app.goo.gl/MQCU2LNxbjAWndkj6,https://maps.app.goo.gl/JFCBPp4arkv1jJSt6,https://maps.app.goo.gl/czhaUzE1wNZkPwCf8,53.3177095,-8.8895082
Tullamore,"Government Offices, Clonminch, Offaly",https://maps.app.goo.gl/9hzMucAs7nkkn1fx6,https://maps.app.goo.gl/gLQNLnGBWnNrcNgw8,https://maps.app.goo.gl/G82k2VZPgFPQeKJ99,https://maps.app.goo.gl/ezoBgLjoRvSyPaDo8,https://maps.app.goo.gl/yYDAyEkpUuongM7V6,https://maps.app.goo.gl/W5h33QuKm36rYHDk8,https://maps.app.goo.gl/KK9UhHT8Ex4dUY2V6,53.2558713,-7.4837494
Gorey,"Naomh Eanna GAA Complex, Clonattin, Wexford",https://maps.app.goo.gl/ersR1JKDQPmsC98D9,https://maps.app.goo.gl/Meis8KXc3JTGET5B8,https://maps.app.goo.gl/4ZJBB5fBnZe232mP7,https://maps.app.goo.gl/ThysfMpH5gdkAYpc9,https://maps.app.goo.gl/xSLVdsUZYEpSwFjq5,https://maps.app.goo.gl/QS8YGz1LYWD9Ly6g8,https://maps.app.goo.gl/ijnbEqpj6PtDijM19,52.68076019999999,-6.274792
Athlone,"McCormacks Shopping Centre, Dublin Road, Westmeath",https://maps.app.goo.gl/vodhrVS26BetXjSN9,https://maps.app.goo.gl/EYJPpi93gCQXmH9Q9,https://maps.app.goo.gl/dJtGqK1tsghWvvGe6,https://maps.app.goo.gl/y5yZj8MRSaNe6L869,https://maps.app.goo.gl/GzGqfGNtgFic4x7K9,https://maps.app.goo.gl/brLGpiQWFwojvNZV9,https://maps.app.goo.gl/brLGpiQWFwojvNZV9,53.5245294,-7.3513652
Tuam,"Airglooney Business Park, Ballygaddy, Galway",https://maps.app.goo.gl/ZJuishi4pgBNAfM8A,https://maps.app.goo.gl/pRo3uYf9siENhERX6,https://maps.app.goo.gl/x15Dy4fQW1ezZc7y8,https://maps.app.goo.gl/j1eQNRZXWmvGSYRBA,https://maps.app.goo.gl/nh76xGPocRyzuvG89,https://maps.app.goo.gl/sfmXb3JakF3byEG56,https://maps.app.goo.gl/sgeC1YxP14Fp72aK8,53.5288171,-8.8770013
Naas,"The Conference Centre, Osprey Hotel & Spa, Kildare",https://maps.app.goo.gl/Jm69z3stBCGedrTc9,https://maps.app.goo.gl/Z8KbAPHAbp7e8nnc8,https://maps.app.goo.gl/qfUkPp9HCXjedyLu9,https://maps.app.goo.gl/qXJxs3kC3D8uPQVJA,https://maps.app.goo.gl/UbxPtKwVWhKRzZ8V6,https://maps.app.goo.gl/uBbe7zYQJzKbaP4e6,https://maps.app.goo.gl/iXzxZNzLUgzYfmmv8,53.2134136,-6.6704965
Roscommon,"Government Offices, Circular Road, Roscommon",https://maps.app.goo.gl/oPb2XEoerPzQCpH26,https://maps.app.goo.gl/WJhmFtwPsKZmzuAW9,https://maps.app.goo.gl/Y4kKLfsgtYsoMZYA6,https://maps.app.goo.gl/LTnbWRPVLzxYRmGg9,https://maps.app.goo.gl/kzN7s1fds94qnhm79,https://maps.app.goo.gl/BFo8f31sqW7aitzM6,https://maps.app.goo.gl/3kQYtp3uy9xFkoNL8,53.6270748,-8.1903826
Mullingar,"Government Offices, Bellview Estate, Westmeath",https://maps.app.goo.gl/xvRSbFM7nRCLivA36,https://maps.app.goo.gl/XRowFvVWhuHDn2gL6,https://maps.app.goo.gl/WfhV1JPJBFwmntuB7,https://maps.app.goo.gl/diyZgJFTtgo1fLaW9,https://maps.app.goo.gl/NE7PTi9ixM2WpbbX7,https://maps.app.goo.gl/dm8oACL3g5CWjA8XA,https://maps.app.goo.gl/SNdmtn2iQKAv9dgw7,53.5245294,-7.3513652
Wicklow,"Government Offices, The Murrough, Wicklow",https://maps.app.goo.gl/TfeBB6nTAoUqUMh36,https://maps.app.goo.gl/USyXdb7fQCXGEdpTA,https://maps.app.goo.gl/7j5Ao3pAGeeFHSLAA,https://maps.app.goo.gl/xYvisB2PhSzY3Uk4A,https://maps.app.goo.gl/8RqrekeTdmgwG1oA9,https://maps.app.goo.gl/xvxp1RLMZk67nfqaA,https://maps.app.goo.gl/gJkwTC7d3GzBzd8F6,52.9852196,-6.0446699
Clifden,"Clifden Station House Hotel, Galway Road, Galway",https://maps.app.goo.gl/Hhs2hRafVsBqiF1M8,https://maps.app.goo.gl/3cLwjKDYn1k5SGobA,https://maps.app.goo.gl/WpzZg9ngdatNvUFE9,https://maps.app.goo.gl/TFiYJB1JuWeMR3h66,https://maps.app.goo.gl/PRguL3nThhKiggN76,https://maps.app.goo.gl/Qpp37fvE1vTtTsxS8,https://maps.app.goo.gl/cNNnwrt89xUo5JXF6,53.4886893,-10.01756
Longford,"Government Offices, Ballinalee Road, Longford",https://maps.app.goo.gl/sepcS69oJVtJSMv69,https://maps.app.goo.gl/1zEFLDCryhMz71TS8,https://maps.app.goo.gl/nBz7P3bEBufcV2A98,https://maps.app.goo.gl/XatRDFkeHHc6G1A48,https://maps.app.goo.gl/EENRDtS4ZjC1PfC87,https://maps.app.goo.gl/UR2hC5fCXRMzh5Bp6,https://maps.app.goo.gl/8FzQK2dB1isKM79m7,53.7299579,-7.7864002
Tallaght,"Premier Business Park, 52 Broomhill Road, Dublin",https://maps.app.goo.gl/A1A8zrNdfDnGJJS6A,https://maps.app.goo.gl/Cf29sDkxfmf78auD7,https://maps.app.goo.gl/HjbLhXdNRBHyBapy8,https://maps.app.goo.gl/Y3KE7X5t1atpKkSL6,https://maps.app.goo.gl/MFEjPUdihvVUjNq69,https://maps.app.goo.gl/DF7bD7v7h6rUoKbz7,https://maps.app.goo.gl/81rhRqKvDXBPM8T1A,53.2962466,-6.361992
